"Scus94491BpeSegment::scriptSetIndicatorsDisabled","Forces disabling/enabling of indicators during scripted movement (not during normal play)"
"Scus94491BpeSegment::scriptReadIndicatorsDisabled","Reads indicator status during some scripted movement (only identified instance so far is Bale boat ride)"
"Scus94491BpeSegment::scriptSetGlobalFlag1","Sets or clears a bit in the flags 1 array at GameState#scriptFlags1_13c"
"Scus94491BpeSegment::scriptReadGlobalFlag1","Reads a bit in the flags 1 array at GameState#scriptFlags1_13c"
"Scus94491BpeSegment::scriptSetGlobalFlag2","Sets or clears a bit in the flags 2 array at GameState#scriptFlags2_bc"
"Scus94491BpeSegment::scriptReadGlobalFlag2","Reads a bit in the flags 2 array at GameState#scriptFlags2_bc"
"FullScreenEffects::scriptStartFadeEffect","Starts a full-screen fade effect"
"DrgnFiles::scriptWaitForFilesToLoad","Rewinds if there are files currently loading; pauses otherwise"
"Rumble::scriptStartRumbleMode","Start rumbling"
"Scus94491BpeSegment::scriptSetFlag","Sets or clears a bit in a flags array"
"Scus94491BpeSegment::scriptReadFlag","Reads a bit in a flags array"
"Rumble::scriptStartRumble","Start rumbling"
"SMap::scriptRestoreCharDataVitals","Restore vitals for all characters"
"SMap::scriptClearStatusEffects","Clears status effects for all characters"
"SMap::scriptCloneCharacterData","Overwrite one character's CharData with that of another character (also restores the destination character's vitals)"
"SMap::scriptSetCharAddition","Set a character's addition"
"Rumble::scriptSetRumbleDampener","Sets the rumble intensity"
"Rumble::scriptResetRumbleDampener","Sets the rumble intensity param back to 0"
"SMap::scriptGetCharAddition","Get a character's addition"
"SMap::scriptMaxOutDartDragoon","Maxes out Dart's Dragoon and fully restores his HP/MP/SP"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Battle::scriptResetCameraMovement","Resets battle camera movement"
"Battle::scriptCameraSetViewpoint","Sets battle camera viewpoint"
"Battle::scriptCameraSetRefpoint","Sets battle camera refpoint"
"Battle::scriptCameraMoveViewpoint","Moves battle camera viewpoint towards target"
"Battle::scriptCameraMoveRefpoint","Moves battle camera refpoint towards target"
"Battle::FUN_800db688","Related to battle camera movement"
"Battle::FUN_800db79c","Related to battle camera movement"
"Battle::scriptCameraAccelerateViewpoint","Accelerates camera viewpoint towards target"
"Battle::scriptCameraAccelerateRefpoint","Accelerates camera refpoint towards target"
"Battle::scriptIsCameraMoving","Whether or not the camera is currently moving"
"Battle::scriptCalculateCameraValue","Calculates multiple different absolute or relative camera values"
"Battle::FUN_800dbb9c","Unused"
"Battle::scriptWobbleCamera","Sets the camera wobble"
"Battle::scriptStopCameraMovement","Stops camera movement"
"Battle::scriptSetViewportTwist","Sets the viewport twist"
"Battle::scriptStopCameraZAcceleration","Sets the camera viewpoint and/or refpoint Z acceleration to 0"
"Battle::scriptSetCameraProjectionPlaneDistance","Sets camera projection plane distance"
"Battle::scriptGetProjectionPlaneDistance","Gets the camera projection plane distance"
"Battle::scriptMoveCameraProjectionPlane","Causes the battle camera projection plane distance to begin moving"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
"Scus94491BpeSegment::scriptRewindAndPause2","Does nothing"
