"Scus94491BpeSegment::scriptSetIndicatorsDisabled","in","bool","disabled","True to disable indicators","none"
"Scus94491BpeSegment::scriptReadIndicatorsDisabled","out","bool","disabled","True if indicators are disabled","none"
"Scus94491BpeSegment::scriptSetGlobalFlag1","in","flag","flag","Which flag to set","none"
"Scus94491BpeSegment::scriptSetGlobalFlag1","in","bool","value","True to set the flag, false to unset","none"
"Scus94491BpeSegment::scriptReadGlobalFlag1","in","flag","flag","Which flag to read","none"
"Scus94491BpeSegment::scriptReadGlobalFlag1","out","bool","value","True the flag was set, false if unset","none"
"Scus94491BpeSegment::scriptSetGlobalFlag2","in","flag","flag","Which flag to set","none"
"Scus94491BpeSegment::scriptSetGlobalFlag2","in","bool","value","True to set the flag, false to unset","none"
"Scus94491BpeSegment::scriptReadGlobalFlag2","in","flag","flag","Which flag to read","none"
"Scus94491BpeSegment::scriptReadGlobalFlag2","out","bool","value","True the flag was set, false if unset","none"
"FullScreenEffects::scriptStartFadeEffect","in","int","type","The type of effect to start","none"
"FullScreenEffects::scriptStartFadeEffect","in","int","frames","The number of frames until the effect finishes","none"
"Rumble::scriptStartRumbleMode","in","int","joypadIndex","","none"
"Rumble::scriptStartRumbleMode","in","int","mode (0: stop, 1: weak, 2: medium, 3: strong","","none"
"Scus94491BpeSegment::scriptSetFlag","both","int_array","flags","The array of flags","none"
"Scus94491BpeSegment::scriptSetFlag","in","flag","flag","Which flag to set","none"
"Scus94491BpeSegment::scriptSetFlag","in","bool","value","True to set the flag, false to unset","none"
"Scus94491BpeSegment::scriptReadFlag","in","int_array","flags","The array of flags","none"
"Scus94491BpeSegment::scriptReadFlag","in","flag","flag","Which flag to read","none"
"Scus94491BpeSegment::scriptReadFlag","out","bool","value","True the flag was set, false if unset","none"
"Rumble::scriptStartRumble","in","int","joypadIndex","","none"
"Rumble::scriptStartRumble","in","int","intensity","","none"
"Rumble::scriptStartRumble","in","int","frames","","none"
"SMap::scriptCloneCharacterData","in","int","sourceCharId","The source character","none"
"SMap::scriptCloneCharacterData","in","int","destCharId","The destination character","none"
"SMap::scriptSetCharAddition","in","int","charId","The character ID","none"
"SMap::scriptSetCharAddition","in","reg","additionId","The addition ID","none"
"Rumble::scriptSetRumbleDampener","in","int","intensity","","none"
"SMap::scriptGetCharAddition","in","int","charId","The character ID","none"
"SMap::scriptGetCharAddition","out","reg","additionId","The addition ID","none"
"Battle::scriptCameraSetViewpoint","in","int","mode","How the camera moves","none"
"Battle::scriptCameraSetViewpoint","in","int","x","If mode is even, 8-bit fixed-point position; if odd, PSX degree angle","none"
"Battle::scriptCameraSetViewpoint","in","int","y","If mode is even, 8-bit fixed-point position; if odd, PSX degree angle","none"
"Battle::scriptCameraSetViewpoint","in","int","z","8-bit fixed-point position","none"
"Battle::scriptCameraSetViewpoint","in","int","scriptIndex","Only used in some modes, the scripted object used in calculations","none"
"Battle::scriptCameraSetRefpoint","in","int","mode","How the camera moves","none"
"Battle::scriptCameraSetRefpoint","in","int","x","If mode is even, 8-bit fixed-point position; if odd, PSX degree angle","none"
"Battle::scriptCameraSetRefpoint","in","int","y","If mode is even, 8-bit fixed-point position; if odd, PSX degree angle","none"
"Battle::scriptCameraSetRefpoint","in","int","z","8-bit fixed-point position","none"
"Battle::scriptCameraSetRefpoint","in","int","scriptIndex","Only used in some modes, the scripted object used in calculations","none"
"Battle::scriptCameraMoveViewpoint","in","int","mode","How the camera moves","none"
"Battle::scriptCameraMoveViewpoint","in","int","x","If mode is even, 8-bit fixed-point position; if odd, PSX degree angle","none"
"Battle::scriptCameraMoveViewpoint","in","int","y","If mode is even, 8-bit fixed-point position; if odd, PSX degree angle","none"
"Battle::scriptCameraMoveViewpoint","in","int","z","8-bit fixed-point position","none"
"Battle::scriptCameraMoveViewpoint","in","int","?","","none"
"Battle::scriptCameraMoveViewpoint","in","int","ticks","Duration of movement","none"
"Battle::scriptCameraMoveViewpoint","in","int","stepType","Two 2-bit packed values for X and Y respectively","none"
"Battle::scriptCameraMoveViewpoint","in","int","scriptIndex","Only used in some modes, the scripted object used in calculations","none"
"Battle::scriptCameraMoveRefpoint","in","int","mode","How the camera moves","none"
"Battle::scriptCameraMoveRefpoint","in","int","x","If mode is even, 8-bit fixed-point position; if odd, PSX degree angle","none"
"Battle::scriptCameraMoveRefpoint","in","int","y","If mode is even, 8-bit fixed-point position; if odd, PSX degree angle","none"
"Battle::scriptCameraMoveRefpoint","in","int","z","8-bit fixed-point position","none"
"Battle::scriptCameraMoveRefpoint","in","int","?","","none"
"Battle::scriptCameraMoveRefpoint","in","int","ticks","Duration of movement","none"
"Battle::scriptCameraMoveRefpoint","in","int","stepType","Two 2-bit packed values for X and Y respectively","none"
"Battle::scriptCameraMoveRefpoint","in","int","scriptIndex","Only used in some modes, the scripted object used in calculations","none"
"Battle::FUN_800db688","in","int","mode","How the camera moves","none"
"Battle::FUN_800db688","in","int","x","If mode is even, 8-bit fixed-point position; if odd, PSX degree angle","none"
"Battle::FUN_800db688","in","int","y","If mode is even, 8-bit fixed-point position; if odd, PSX degree angle","none"
"Battle::FUN_800db688","in","int","z","8-bit fixed-point position","none"
"Battle::FUN_800db688","in","int","initialStepZ, 8-bit fixed-point","","none"
"Battle::FUN_800db688","in","int","finalStepZ, 8-bit fixed-point","","none"
